Absicoccus porci
Citrobacter youngae
Cloacibacillus evryensis
Cloacibacillus porcorum
Clostridioides difficile
Clostridioides difficile_A
Clostridium_AA polynesiense
Clostridium_A leptum
Clostridium_AP scindens
Clostridium_AQ innocuum
Clostridium baratii
Clostridium beijerinckii
Clostridium_B tyrobutyricum
Clostridium butyricum
Clostridium celatum
Clostridium cuniculi
Clostridium disporicum_A
Clostridium_E jeddahense
Clostridium_E merdae
Clostridium_E sporosphaeroides
Clostridium_F botulinum
Clostridium_F botulinum_A
Clostridium_F niameyense
Clostridium_F tepidum
Clostridium_G cochlearium
Clostridium_G tetani
Clostridium_H massiliodielmoense
Clostridium_J ihumii
Clostridium_J senegalense
Clostridium_L amazonitimonense
Clostridium neonatale
Clostridium nigeriense
Clostridium paraputrificum
Clostridium_P massiliamazoniense
Clostridium_P mediterraneense
Clostridium_P perfringens
Clostridium_P ventriculi
Clostridium_Q saccharolyticum_A
Clostridium_Q symbiosum
Clostridium saudiense
Clostridium septicum
Clostridium tertium
Clostridium_X cadaveris
Collinsella aerofaciens
Collinsella aerofaciens_A
Collinsella aerofaciens_E
Collinsella aerofaciens_F
Collinsella aerofaciens_G
Collinsella aerofaciens_H
Collinsella aerofaciens_J
Collinsella aerofaciens_K
Collinsella aerofaciens_N
Collinsella bouchesdurhonensis
Collinsella ihuae
Collinsella intestinalis
Collinsella phocaeensis
Collinsella provencensis
Collinsella stercoris
Collinsella tanakaei
Collinsella vaginalis
Comamonas kerstersii
Companilactobacillus farciminis
Companilactobacillus farciminis_A
Coprobacillus cateniformis
Coprobacter fastidiosus
Coprobacter secundus
Coprococcus_A catus
Coprococcus eutactus
Coprococcus eutactus_A
Corynebacterium afermentans
Corynebacterium ammoniagenes
Corynebacterium amycolatum
Corynebacterium amycolatum_A
Corynebacterium aurimucosum_C
Corynebacterium aurimucosum_E
Corynebacterium bouchesdurhonense
Corynebacterium glucuronolyticum
Corynebacterium kefirresidentii
Corynebacterium kroppenstedtii_A
Corynebacterium pacaense
Corynebacterium phoceense
Corynebacterium propinquum
Corynebacterium provencense
Corynebacterium simulans
Corynebacterium striatum
Criibacterium bergeronii
Cronobacter malonaticus
Cronobacter sakazakii
Cupriavidus metallidurans
Cutibacterium acnes
Cutibacterium avidum
Cutibacterium granulosum
Dermabacter hominis
Desulfitobacterium hafniense
Desulfovibrio desulfuricans
Desulfovibrio desulfuricans_A
Desulfovibrio fairfieldensis
Desulfovibrio legallii
Desulfovibrio piger
Desulfovibrio piger_A
Dialister hominis
Dialister invisus
Dialister succinatiphilus
Dielma fastidiosa
Dorea_A longicatena
Dorea_A longicatena_B
Dorea_B phocaeensis
Dorea formicigenerans
Duncaniella dubosii
Duodenibacillus massiliensis
Dysgonomonas capnocytophagoides
Dysgonomonas gadei
Dysgonomonas mossii
Dysosmobacter welbionis
Edwardsiella tarda
Eggerthella lenta
Eggerthella sinensis
Eikenella corrodens
Eisenbergiella massiliensis
Eisenbergiella tayi
Elizabethkingia bruuniana
Ellagibacter isourolithinifaciens
Emergencia timonensis
Enorma massiliensis
Enorma timonensis
Enterobacter asburiae_B
Enterobacter_A timonensis
Enterobacter bugandensis
Enterobacter cancerogenus
Enterobacter chengduensis
Enterobacter cloacae
Enterobacter cloacae_K
Enterobacter cloacae_O
Enterobacter_D kobei_A
Enterobacter hormaechei_A
Enterobacter kobei
Enterobacter ludwigii
Enterobacter mori
Enterobacter roggenkampii
Enterobacter sichuanensis
Enterocloster aldenensis
