1XD42-69 sp014287635
Bacteroides fragilis_A
Bacteroides gallinarum
Bacteroides graminisolvens
Bacteroides intestinalis
Bacteroides massiliensis_A
Bacteroides ndongoniae
Bacteroides neonati
Bacteroides nordii
Bacteroides oleiciplenus
Bacteroides ovatus
Bacteroides pyogenes
Bacteroides salyersiae
Bacteroides sp002491635
Bacteroides sp003545565
Bacteroides sp007896885
Bacteroides sp014385165
Bacteroides sp900547205
Bacteroides sp900553815
Bacteroides sp900555635
Bacteroides sp900556215
Bacteroides sp900761785
Bacteroides sp900765785
Bacteroides sp900766005
Bacteroides sp900766195
Bacteroides sp902362375
Bacteroides sp902388495
Bacteroides stercorirosoris
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides togonis
Bacteroides uniformis
Bacteroides xylanisolvens
Bariatricus comes
Bariatricus massiliensis
Bariatricus sp900554415
Barnesiella intestinihominis
Barnesiella sp002159975
Barnesiella sp003150885
Barnesiella sp900538555
Barnesiella sp900538705
Barnesiella sp900542255
Beduini massiliensis
Beduini sp900550005
Beduini sp902363625
Bifidobacterium adolescentis
Bifidobacterium angulatum
Bifidobacterium animalis
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium catenulatum
Bifidobacterium dentium
Bifidobacterium gallicum
Bifidobacterium gallinarum
Bifidobacterium globosum
Bifidobacterium infantis
Bifidobacterium italicum
Bifidobacterium pseudocatenulatum
Bifidobacterium pullorum
Bifidobacterium ruminantium
Bifidobacterium scardovii
Bifidobacterium sp002742445
Bifidobacterium sp002884815
Bifidobacterium sp900551485
Bifidobacterium thermophilum
Bifidobacterium vaginale
Bifidobacterium vaginale_E
Bifidobacterium vaginale_F
Bifidobacterium vaginale_G
Bilophila sp900550745
Bilophila sp900553145
Bilophila sp902373525
Bilophila wadsworthia
Bittarella massiliensis
Blastococcus massiliensis
Blautia_A caecimuris
Blautia_A faecis
Blautia_A hydrogenotrophica
Blautia_A luti
Blautia_A massiliensis
Blautia_A obeum
Blautia_A obeum_B
Blautia_A schinkii
Blautia_A sp000285855
Blautia_A sp000436615
Blautia_A sp003471165
Blautia_A sp003474435
Blautia_A sp003477525
Blautia_A sp900066145
Blautia_A sp900066205
Blautia_A sp900066335
Blautia_A sp900066505
Blautia_A sp900120195
Blautia_A sp900540785
Blautia_A sp900541345
Blautia_A sp900541985
Blautia_A sp900542045
Blautia_A sp900547615
Blautia_A sp900548245
Blautia_A sp900549015
Blautia_A sp900551075
Blautia_A sp900551465
Blautia_A sp900551715
Blautia_A sp900553515
Blautia_A sp900763175
Blautia_A wexlerae_A
Blautia_A wexlerae_B
Blautia coccoides
Blautia hansenii
Blautia hominis
Blautia sp000432195
Blautia sp001304935
Blautia sp002161285
Blautia sp003287895
Blautia sp900539145
Blautia sp900541955
Blautia sp900543715
Blautia sp900547685
Blautia sp900555025
Blautia sp900556555
Blautia sp900753905
Blautia sp900765525
Blautia stercoris
Borkfalkia ceftriaxoniphila
Borkfalkia sp900557285
Borkfalkia sp900761665
Borkfalkia sp900761675
Brachyspira aalborgi
Brachyspira pilosicoli
Bradyrhizobium sp000015165
Bradyrhizobium sp003020075
Brevibacillus_C massiliensis
Brevibacterium senegalense
Bruticola sp004554425
Bruticola sp900772775
Bulleidia massiliensis_B
Bulleidia moorei
Bulleidia sp900539965
Bulleidia sp900554555
Butyricicoccus_A sp002395695
Butyricicoccus pullicaecorum
Butyricicoccus sp900547195
Butyricimonas faecalis
Butyricimonas paravirosa
Butyricimonas sp003479425
Butyricimonas sp900184685
Butyricimonas sp900759925
Butyricimonas sp900761485
Butyricimonas synergistica
Butyricimonas virosa
Butyrivibrio_A crossotus
Butyrivibrio_A sp000431815
Butyrivibrio_A sp900768755
Butyrivibrio_A sp900771195
BX12 sp014333425
BX12 sp902363595
CAAEEV01 sp900754955
CAAFZY01 sp900767645
CAAGED01 sp900768505
CAAGGB01 sp900769285
CAAHEQ01 sp900772625
CABIZH01 sp902363205
CABKMX01 sp902373595
CABMKH01 sp902386935
CACZQA01 sp900758075
CACZQA01 sp902783175
CADBRU01 sp900762815
Caecibacter hominis
Caecibacter massiliensis
Caecibacter sp003467125
Caecibacter sp900549385
CAG-1000 sp000434555
CAG-1000 sp000436975
CAG-1000 sp004552445
CAG-1000 sp900556025
CAG-1000 sp900761555
CAG-1000 sp900768345
CAG-1000 sp900772435
CAG-1024 sp000432015
CAG-1031 sp000431215
CAG-1031 sp900752535
CAG-103 sp000432375
CAG-103 sp004556965
CAG-103 sp900317855
CAG-103 sp900543625
CAG-103 sp900757655
