Collinsella ihuae
Collinsella intestinalis
Collinsella phocaeensis
Collinsella provencensis
Collinsella stercoris
Collinsella tanakaei
Collinsella vaginalis
Comamonas kerstersii
Companilactobacillus farciminis
Coprobacillus cateniformis
Coprobacter fastidiosus
Coprobacter secundus
Coprococcus catus
Coprococcus eutactus
Corynebacterium afermentans
Corynebacterium ammoniagenes
Corynebacterium amycolatum
Corynebacterium aurimucosum
Corynebacterium bouchesdurhonense
Corynebacterium glucuronolyticum
Corynebacterium kefirresidentii
Corynebacterium kroppenstedtii
Corynebacterium pacaense
Corynebacterium phoceense
Corynebacterium propinquum
Corynebacterium provencense
Corynebacterium simulans
Corynebacterium striatum
Criibacterium bergeronii
Cronobacter malonaticus
Cronobacter sakazakii
Cupriavidus metallidurans
Cutibacterium acnes
Cutibacterium avidum
Cutibacterium granulosum
Dermabacter hominis
Desulfitobacterium hafniense
Desulfovibrio desulfuricans
Desulfovibrio fairfieldensis
Desulfovibrio legallii
Desulfovibrio piger
Dialister hominis
Dialister invisus
Dialister succinatiphilus
Dielma fastidiosa
Dorea formicigenerans
Dorea longicatena
Dorea phocaeensis
Duncaniella dubosii
Duodenibacillus massiliensis
Dysgonomonas capnocytophagoides
Dysgonomonas gadei
Dysgonomonas mossii
Dysosmobacter welbionis
Edwardsiella tarda
Eggerthella lenta
Eggerthella sinensis
Eikenella corrodens
Eisenbergiella massiliensis
Eisenbergiella tayi
Elizabethkingia bruuniana
Ellagibacter isourolithinifaciens
Emergencia timonensis
Enorma massiliensis
Enorma timonensis
Enterobacter asburiae
Enterobacter bugandensis
Enterobacter cancerogenus
Enterobacter chengduensis
Enterobacter cloacae
Enterobacter hormaechei
Enterobacter kobei
Enterobacter ludwigii
Enterobacter mori
Enterobacter roggenkampii
Enterobacter sichuanensis
Enterobacter timonensis
Enterocloster aldenensis
Enterocloster asparagiformis
Enterocloster bolteae
Enterocloster citroniae
Enterocloster clostridioformis
Enterocloster lavalensis
Enterococcus asini
Enterococcus avium
Enterococcus caccae
Enterococcus casseliflavus
Enterococcus devriesei
Enterococcus dispar
Enterococcus durans
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus gilvus
Enterococcus hirae
Enterococcus italicus
Enterococcus lactis
Enterococcus massiliensis
Enterococcus pallens
Enterococcus pernyi
Enterococcus raffinosus
Enteroscipio rubneri
Enterovibrio hollisae
Epilithonimonas bovis
Erysipelatoclostridium ramosum
Erysipelatoclostridium saccharogumia
Erysipelatoclostridium spiroforme
Escherichia albertii
Escherichia coli
Escherichia fergusonii
Escherichia marmotae
Eubacterium callanderi
Eubacterium coprostanoligenes
Eubacterium limosum
Eubacterium maltosivorans
Eubacterium ramulus
Eubacterium saphenum
Eubacterium ventriosum
Evtepia gabavorous
Extibacter hylemonae
Extibacter muris
Ezakiella coagulans
Ezakiella massiliensis
Faecalibacillus faecis
Faecalibacillus intestinalis
Faecalibacterium prausnitzii
Faecalicoccus pleomorphus
Faecalimonas phoceensis
Faecalimonas umbilicata
Faecalitalea cylindroides
Fannyhessea vaginae
Fenollaria massiliensis
